variant,metric,mean,ci_lower,ci_upper
hybrid_dense_hash_k5_rerank,faithfulness,0.9980705928355861,0.9966017248699189,0.9993818681318681
hybrid_dense_hash_k5_rerank,hallucination_risk,0.03687911465686906,0.02207008687909127,0.05312553146258506
hybrid_dense_hash_k5_rerank,context_precision,0.2142857142857143,0.1892857142857143,0.2392857142857143
hybrid_dense_hash_k5_rerank,latency_ms,603.1,603.1,603.1
hybrid_dense_hash_k5_rerank,cost_usd,7.971071428571428e-05,7.931e-05,8.010714285714286e-05
hybrid_k5_rerank,faithfulness,0.9980527279559701,0.9964636675167281,0.9993750543431006
hybrid_k5_rerank,hallucination_risk,0.03939072682861947,0.024567961028751136,0.05648051793374077
hybrid_k5_rerank,context_precision,0.2285714285714286,0.2,0.2571428571428572
hybrid_k5_rerank,latency_ms,587.1,587.1,587.1
hybrid_k5_rerank,cost_usd,7.837571428571428e-05,7.793e-05,7.881071428571429e-05
lexical_k5_rerank,faithfulness,0.9866426800201966,0.9833639636687376,0.9898150670621776
lexical_k5_rerank,hallucination_risk,0.04555725798687224,0.03008182134623184,0.062465461642900656
lexical_k5_rerank,context_precision,0.2285714285714286,0.2,0.26071428571428573
lexical_k5_rerank,latency_ms,457.1,457.1,457.1
lexical_k5_rerank,cost_usd,4.314142857142857e-05,4.287857142857143e-05,4.343571428571428e-05
