variant,query_id,query_type,top_k,rerank,retriever,retrieval_cost,rerank_cost,generation_cost,total_cost,cost_usd,retrieval_latency_ms,rerank_latency_ms,generation_latency_ms,total_latency_ms,latency_ms,recall_at_k,mrr,ndcg_at_k,context_precision,context_recall,faithfulness,answer_term_coverage,hallucination_risk,chunk_size_tokens,overlap_tokens
lexical_k5_rerank,q001,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.448e-05,4.556e-05,4.556e-05,187.1,90.0,180.0,457.1,457.1,1.0,0.5,0.6509209298071326,0.4,1.0,0.9787234042553191,0.6,0.15382978723404261,24,4
lexical_k5_rerank,q002,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.248e-05,4.356e-05,4.356e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9787234042553191,0.8333333333333334,0.07216312056737584,24,4
lexical_k5_rerank,q003,stale_context,5.0,true,lexical,1.08e-06,2e-05,2.248e-05,4.356e-05,4.356e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.4,1.0,1.0,0.8,0.07000000000000006,24,4
lexical_k5_rerank,q004,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.44e-05,4.548e-05,4.548e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.972972972972973,1.0,0.0175675675675675,24,4
lexical_k5_rerank,q005,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.088e-05,4.196e-05,4.196e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q006,compliance,5.0,true,lexical,1.08e-06,2e-05,2.264e-05,4.372e-05,4.372e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q007,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.192e-05,4.3e-05,4.3e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q008,policy_reasoning,5.0,true,lexical,1.08e-06,2e-05,2.176e-05,4.284e-05,4.284e-05,187.1,90.0,180.0,457.1,457.1,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.16666666666666666,0.3052083333333333,24,4
lexical_k5_rerank,q009,cost_latency,5.0,true,lexical,1.08e-06,2e-05,2.128e-05,4.236e-05,4.236e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,0.9197207891481876,0.4,1.0,0.9736842105263158,1.0,0.017105263157894735,24,4
lexical_k5_rerank,q010,compliance,5.0,true,lexical,1.08e-06,2e-05,2.352e-05,4.46e-05,4.46e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9782608695652174,1.0,0.01413043478260867,24,4
lexical_k5_rerank,q011,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.128e-05,4.236e-05,4.236e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q012,policy_reasoning,5.0,true,lexical,1.08e-06,2e-05,2.088e-05,4.196e-05,4.196e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q013,compliance,5.0,true,lexical,1.08e-06,2e-05,2.112e-05,4.22e-05,4.22e-05,187.1,90.0,180.0,457.1,457.1,1.0,0.5,0.6309297535714575,0.2,1.0,0.975609756097561,0.75,0.1033536585365854,24,4
lexical_k5_rerank,q014,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.144e-05,4.252e-05,4.252e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9761904761904762,1.0,0.015476190476190532,24,4
lexical_k5_rerank,q015,multi_hop,5.0,true,lexical,1.08e-06,2e-05,2.368e-05,4.476e-05,4.476e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,0.8772153153380493,0.4,1.0,0.9761904761904762,0.8,0.08547619047619048,24,4
lexical_k5_rerank,q016,compliance,5.0,true,lexical,1.08e-06,2e-05,2.184e-05,4.292e-05,4.292e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q017,vendor_risk,5.0,true,lexical,1.08e-06,2e-05,2.224e-05,4.332e-05,4.332e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9743589743589743,1.0,0.01666666666666672,24,4
lexical_k5_rerank,q018,compliance,5.0,true,lexical,1.08e-06,2e-05,2.032e-05,4.14e-05,4.14e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q019,policy_reasoning,5.0,true,lexical,1.08e-06,2e-05,2.352e-05,4.46e-05,4.46e-05,187.1,90.0,180.0,457.1,457.1,0.0,0.0,0.0,0.0,0.0,0.9743589743589743,0.8,0.08666666666666667,24,4
lexical_k5_rerank,q020,cost_latency,5.0,true,lexical,1.08e-06,2e-05,2.128e-05,4.236e-05,4.236e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q021,cost_latency,5.0,true,lexical,1.08e-06,2e-05,2.16e-05,4.268e-05,4.268e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.975609756097561,1.0,0.01585365853658538,24,4
lexical_k5_rerank,q022,cost_latency,5.0,true,lexical,1.08e-06,2e-05,2.072e-05,4.18e-05,4.18e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9772727272727273,1.0,0.01477272727272727,24,4
lexical_k5_rerank,q023,policy_reasoning,5.0,true,lexical,1.08e-06,2e-05,2.32e-05,4.428e-05,4.428e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.4,1.0,0.9787234042553191,1.0,0.013829787234042601,24,4
lexical_k5_rerank,q024,compliance,5.0,true,lexical,1.08e-06,2e-05,2.064e-05,4.172e-05,4.172e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q025,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.064e-05,4.172e-05,4.172e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q026,vendor_risk,5.0,true,lexical,1.08e-06,2e-05,2.224e-05,4.332e-05,4.332e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9736842105263158,1.0,0.017105263157894735,24,4
lexical_k5_rerank,q027,vendor_risk,5.0,true,lexical,1.08e-06,2e-05,2.28e-05,4.388e-05,4.388e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9761904761904762,1.0,0.015476190476190532,24,4
lexical_k5_rerank,q028,policy_reasoning,5.0,true,lexical,1.08e-06,2e-05,2.32e-05,4.428e-05,4.428e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q029,policy_reasoning,5.0,true,lexical,1.08e-06,2e-05,2.176e-05,4.284e-05,4.284e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.975,1.0,0.016249999999999987,24,4
lexical_k5_rerank,q030,ambiguous,5.0,true,lexical,1.08e-06,2e-05,2.128e-05,4.236e-05,4.236e-05,187.1,90.0,180.0,457.1,457.1,0.5,0.5,0.38685280723454163,0.2,0.5,1.0,0.6,0.14,24,4
lexical_k5_rerank,q031,cloud_operations,5.0,true,lexical,1.08e-06,2e-05,2.288e-05,4.396e-05,4.396e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9696969696969697,1.0,0.019696969696969657,24,4
lexical_k5_rerank,q032,cloud_operations,5.0,true,lexical,1.08e-06,2e-05,2.128e-05,4.236e-05,4.236e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9761904761904762,0.8,0.08547619047619048,24,4
lexical_k5_rerank,q033,cost_latency,5.0,true,lexical,1.08e-06,2e-05,2.2e-05,4.308e-05,4.308e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9743589743589743,1.0,0.01666666666666672,24,4
lexical_k5_rerank,q034,compliance,5.0,true,lexical,1.08e-06,2e-05,2.304e-05,4.412e-05,4.412e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9777777777777777,1.0,0.014444444444444482,24,4
lexical_k5_rerank,q035,policy_reasoning,5.0,true,lexical,1.08e-06,2e-05,2.224e-05,4.332e-05,4.332e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9736842105263158,1.0,0.017105263157894735,24,4
lexical_k5_rerank,q036,policy_reasoning,5.0,true,lexical,1.08e-06,2e-05,2.16e-05,4.268e-05,4.268e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9777777777777777,1.0,0.014444444444444482,24,4
lexical_k5_rerank,q037,fact_lookup,5.0,true,lexical,1.08e-06,2e-05,2.424e-05,4.532e-05,4.532e-05,187.1,90.0,180.0,457.1,457.1,0.0,0.0,0.0,0.0,0.0,0.9767441860465116,0.8,0.08511627906976749,24,4
lexical_k5_rerank,q038,compliance,5.0,true,lexical,1.08e-06,2e-05,2.168e-05,4.276e-05,4.276e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0,24,4
lexical_k5_rerank,q039,multi_hop,5.0,true,lexical,1.08e-06,2e-05,2.232e-05,4.34e-05,4.34e-05,187.1,90.0,180.0,457.1,457.1,0.6666666666666666,0.5,0.49818925746641285,0.4,0.6666666666666666,0.975609756097561,0.4,0.22585365853658534,24,4
lexical_k5_rerank,q040,multi_hop,5.0,true,lexical,1.08e-06,2e-05,2.296e-05,4.404e-05,4.404e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,0.9469024295259745,0.6,1.0,0.9761904761904762,0.8,0.08547619047619048,24,4
lexical_k5_rerank,q041,stale_context,5.0,true,lexical,1.08e-06,2e-05,2.224e-05,4.332e-05,4.332e-05,187.1,90.0,180.0,457.1,457.1,0.5,1.0,0.6131471927654584,0.2,0.5,1.0,1.0,0.0,24,4
lexical_k5_rerank,q042,ambiguous,5.0,true,lexical,1.08e-06,2e-05,2.224e-05,4.332e-05,4.332e-05,187.1,90.0,180.0,457.1,457.1,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.14,24,4
lexical_k5_rerank,q043,ambiguous,5.0,true,lexical,1.08e-06,2e-05,2.024e-05,4.132e-05,4.132e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,0.8529278650606567,0.6,1.0,1.0,0.8,0.07000000000000006,24,4
lexical_k5_rerank,q044,cost_latency,5.0,true,lexical,1.08e-06,2e-05,2.24e-05,4.348e-05,4.348e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9736842105263158,1.0,0.017105263157894735,24,4
lexical_k5_rerank,q045,multi_hop,5.0,true,lexical,1.08e-06,2e-05,2.224e-05,4.332e-05,4.332e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,0.8503449055347546,0.4,1.0,1.0,0.8,0.07000000000000006,24,4
lexical_k5_rerank,q046,vendor_risk,5.0,true,lexical,1.08e-06,2e-05,2.336e-05,4.444e-05,4.444e-05,187.1,90.0,180.0,457.1,457.1,1.0,1.0,1.0,0.2,1.0,0.9743589743589743,1.0,0.01666666666666672,24,4
lexical_k5_rerank,q047,cloud_operations,5.0,true,lexical,1.08e-06,2e-05,2.296e-05,4.404e-05,4.404e-05,187.1,90.0,180.0,457.1,457.1,1.0,0.5,0.6309297535714575,0.2,1.0,0.9761904761904762,1.0,0.015476190476190532,24,4
