variant,metric,mean,ci_lower,ci_upper
dense_k5,faithfulness,0.9881858160545797,0.9850831099719675,0.9911473007610104
dense_k5,hallucination_risk,0.09788755289785657,0.06836707466828248,0.12967399033121985
dense_k5,context_precision,0.19285714285714287,0.16785714285714287,0.21785714285714286
dense_k5,latency_ms,379.1,379.1,379.1
dense_k5,cost_usd,2.406142857142857e-05,2.3778571428571428e-05,2.433857142857143e-05
dense_k5_rerank,faithfulness,0.9873705169491018,0.9842411346546059,0.990732424113132
dense_k5_rerank,hallucination_risk,0.05841749731641717,0.03799488432394051,0.08288736825585988
dense_k5_rerank,context_precision,0.19642857142857145,0.17142857142857143,0.22142857142857145
dense_k5_rerank,latency_ms,469.1,469.1,469.1
dense_k5_rerank,cost_usd,4.4392857142857144e-05,4.413285714285714e-05,4.4661428571428574e-05
hybrid_dense_k5_rerank,faithfulness,0.9980705928355861,0.9964951598079967,0.9993818681318681
hybrid_dense_k5_rerank,hallucination_risk,0.03687911465686906,0.022464254962991502,0.054048544928977905
hybrid_dense_k5_rerank,context_precision,0.2142857142857143,0.19285714285714287,0.2392857142857143
hybrid_dense_k5_rerank,latency_ms,603.1,603.1,603.1
hybrid_dense_k5_rerank,cost_usd,7.971071428571428e-05,7.931642857142857e-05,8.008142857142857e-05
hybrid_k10_large,faithfulness,1.0,1.0,1.0
hybrid_k10_large,hallucination_risk,0.03812500000000001,0.02343750000000001,0.05343750000000001
hybrid_k10_large,context_precision,0.12142857142857143,0.10714285714285715,0.1375
hybrid_k10_large,latency_ms,909.6,909.6,909.6
hybrid_k10_large,cost_usd,0.00019654071428571427,0.0001956192857142857,0.0001975192857142857
hybrid_k5_rerank,faithfulness,0.9980527279559701,0.9965212975786785,0.9993931040157998
hybrid_k5_rerank,hallucination_risk,0.03939072682861947,0.025404500281549034,0.05566916864889598
hybrid_k5_rerank,context_precision,0.2285714285714286,0.2,0.26071428571428573
hybrid_k5_rerank,latency_ms,587.1,587.1,587.1
hybrid_k5_rerank,cost_usd,7.837571428571428e-05,7.791285714285715e-05,7.880428571428571e-05
hybrid_k8_rerank,faithfulness,0.9980527279559701,0.9964687584500536,0.9993399577572964
hybrid_k8_rerank,hallucination_risk,0.03939072682861947,0.025474870391705085,0.05513786618192623
hybrid_k8_rerank,context_precision,0.15178571428571427,0.13169642857142858,0.171875
hybrid_k8_rerank,latency_ms,654.6,654.6,654.6
hybrid_k8_rerank,cost_usd,9.699071428571428e-05,9.648285714285714e-05,9.751785714285715e-05
lexical_k3,faithfulness,0.9884941221202387,0.9851437957987128,0.9918958611233626
lexical_k3,hallucination_risk,0.04060382062184485,0.02744619967161782,0.055802131459497945
lexical_k3,context_precision,0.3333333333333333,0.30357142857142855,0.369047619047619
lexical_k3,latency_ms,358.1,358.1,358.1
lexical_k3,cost_usd,2.0205714285714286e-05,1.999714285714286e-05,2.042e-05
lexical_k5,faithfulness,0.9884941221202387,0.9853718183678523,0.991706673931363
lexical_k5,hallucination_risk,0.04060382062184485,0.026009544745149816,0.05790309643976058
lexical_k5,context_precision,0.22142857142857145,0.19642857142857145,0.24642857142857144
lexical_k5,latency_ms,367.1,367.1,367.1
lexical_k5,cost_usd,2.3024285714285715e-05,2.2778571428571427e-05,2.327142857142857e-05
lexical_k5_rerank,faithfulness,0.9866426800201966,0.9835241202245685,0.9899110380206748
lexical_k5_rerank,hallucination_risk,0.04555725798687224,0.031543395358711236,0.06275008187914216
lexical_k5_rerank,context_precision,0.2285714285714286,0.2,0.2571428571428572
lexical_k5_rerank,latency_ms,457.1,457.1,457.1
lexical_k5_rerank,cost_usd,4.314142857142857e-05,4.283857142857143e-05,4.344285714285714e-05
