variant,query_type,query_type_index,count,recall_at_k,mrr,ndcg_at_k,context_precision,faithfulness,hallucination_risk,latency_ms,cost_usd
dense_k5,ambiguous,1.0,3.0,0.38888888888888884,0.27777777777777773,0.2676779875944242,0.20000000000000004,0.9920634920634921,0.2151587301587302,379.1000000000001,2.3853333333333334e-05
dense_k5,cloud_operations,2.0,3.0,1.0,0.8333333333333334,0.8769765845238192,0.20000000000000004,0.9922480620155039,0.02837209302325583,379.1000000000001,2.5266666666666666e-05
dense_k5,compliance,3.0,10.0,1.0,0.9199999999999999,0.9386852807234541,0.2,0.9902903392693523,0.064061279474921,379.1,2.3552e-05
dense_k5,cost_latency,4.0,7.0,0.8571428571428571,0.7142857142857143,0.7516942153061308,0.2,0.9859380991280863,0.07580690223341058,379.1,2.3834285714285712e-05
dense_k5,fact_lookup,5.0,11.0,0.8636363636363636,0.8484848484848485,0.8460521451257027,0.18181818181818182,0.9869822988999787,0.0726281723816805,379.1,2.3945454545454544e-05
dense_k5,multi_hop,6.0,5.0,0.4,0.5066666666666666,0.3733246437348324,0.2,0.9951219512195122,0.1571707317073171,379.1,2.3992e-05
dense_k5,policy_reasoning,7.0,10.0,0.6,0.4833333333333333,0.47818506833785895,0.16,0.9863203786015659,0.10805842057564888,379.1,2.4143999999999998e-05
dense_k5,stale_context,8.0,3.0,0.8333333333333334,0.48333333333333334,0.5291983533302923,0.26666666666666666,0.9925925925925926,0.2848148148148148,379.1000000000001,2.4146666666666667e-05
dense_k5,vendor_risk,9.0,4.0,1.0,1.0,1.0,0.2,0.9769010856096457,0.015014294353730306,379.1,2.512e-05
dense_k5_rerank,ambiguous,1.0,3.0,0.38888888888888884,0.3333333333333333,0.305858027070595,0.20000000000000004,1.0,0.18666666666666668,469.1000000000001,4.4333333333333324e-05
dense_k5_rerank,cloud_operations,2.0,3.0,1.0,0.8333333333333334,0.8769765845238192,0.20000000000000004,0.9824074074074073,0.03476851851851851,469.1000000000001,4.476e-05
dense_k5_rerank,compliance,3.0,10.0,1.0,0.85,0.8892789260714373,0.2,0.9929072959560765,0.027360257628550322,469.1,4.3928000000000004e-05
dense_k5_rerank,cost_latency,4.0,7.0,1.0,0.8571428571428571,0.8945513581632737,0.2285714285714286,0.9861288596986537,0.02568290786254173,469.1,4.3799999999999994e-05
dense_k5_rerank,fact_lookup,5.0,11.0,0.8636363636363636,0.8484848484848485,0.8460521451257027,0.18181818181818182,0.9893413137589936,0.03291299454150264,469.1,4.428727272727273e-05
dense_k5_rerank,multi_hop,6.0,5.0,0.4,0.5666666666666667,0.4,0.2,0.9848044909020519,0.1358770809136663,469.1,4.5016000000000004e-05
dense_k5_rerank,policy_reasoning,7.0,10.0,0.6,0.7,0.6226294385530917,0.16,0.9851310863152968,0.09483146056172373,469.1,4.4264e-05
dense_k5_rerank,stale_context,8.0,3.0,0.8333333333333334,1.0,0.8710490642551528,0.26666666666666666,0.9851851851851853,0.032962962962963006,469.1000000000001,4.4093333333333334e-05
dense_k5_rerank,vendor_risk,9.0,4.0,1.0,1.0,1.0,0.2,0.9749771062271062,0.01626488095238099,469.1,4.642e-05
