baseline,candidate,metric,mean_delta,wins,losses,raw_p_value,bh_adjusted_p_value,significant_raw,significant_bh
lexical_k3,dense_k5,recall_at_k,-0.03571428571428571,1.0,3.0,0.625,0.7291666666666666,False,False
lexical_k3,dense_k5,mrr,-0.1455357142857143,2.0,15.0,0.002349853515625,0.004386393229166666,True,True
lexical_k3,dense_k5,ndcg_at_k,-0.09574073002867826,4.0,17.0,0.007197380065917969,0.013001718828755041,True,True
lexical_k3,dense_k5,faithfulness,-0.0003083060656590538,24.0,16.0,0.26818725105476915,0.36630453802602614,False,False
lexical_k3,dense_k5,hallucination_risk,0.05728373227601171,31.0,17.0,0.05946337525377032,0.0945945945945946,False,False
lexical_k3,dense_k5,latency_ms,21.0,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,dense_k5,cost_usd,3.855714285714285e-06,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,dense_k5_rerank,recall_at_k,-0.017857142857142856,1.0,2.0,1.0,1.0,False,False
lexical_k3,dense_k5_rerank,mrr,-0.06547619047619048,3.0,10.0,0.09228515625,0.13599917763157895,False,False
lexical_k3,dense_k5_rerank,ndcg_at_k,-0.03817199452580166,6.0,9.0,0.60723876953125,0.7291666666666666,False,False
lexical_k3,dense_k5_rerank,faithfulness,-0.0011236051711369138,17.0,15.0,0.860050065908581,0.944368699821187,False,False
lexical_k3,dense_k5_rerank,hallucination_risk,0.01781367669457232,20.0,17.0,0.7428293587290682,0.8489478385475066,False,False
lexical_k3,dense_k5_rerank,latency_ms,111.0,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,dense_k5_rerank,cost_usd,2.4187142857142857e-05,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,hybrid_dense_k5_rerank,recall_at_k,0.02976190476190476,4.0,0.0,0.125,0.1794871794871795,False,False
lexical_k3,hybrid_dense_k5_rerank,mrr,-0.020833333333333332,1.0,4.0,0.375,0.4666666666666667,False,False
lexical_k3,hybrid_dense_k5_rerank,ndcg_at_k,0.011048022019897855,7.0,2.0,0.1796875,0.2515625,False,False
lexical_k3,hybrid_dense_k5_rerank,faithfulness,0.009576470715347384,26.0,3.0,1.5236437320709229e-05,4.266202449798584e-05,True,True
lexical_k3,hybrid_dense_k5_rerank,hallucination_risk,-0.0037247059649757963,6.0,26.0,0.0005350527353584766,0.001248456382503112,True,True
lexical_k3,hybrid_dense_k5_rerank,latency_ms,245.0,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,hybrid_dense_k5_rerank,cost_usd,5.9505e-05,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,hybrid_k10_large,recall_at_k,0.09226190476190477,10.0,0.0,0.001953125,0.003771551724137931,True,True
lexical_k3,hybrid_k10_large,mrr,0.014136904761904762,4.0,1.0,0.375,0.4666666666666667,False,False
lexical_k3,hybrid_k10_large,ndcg_at_k,0.05884084760071335,13.0,0.0,0.000244140625,0.000594429347826087,True,True
lexical_k3,hybrid_k10_large,faithfulness,0.01150587787976129,26.0,0.0,2.9802322387695312e-08,9.817235610064338e-08,True,True
lexical_k3,hybrid_k10_large,hallucination_risk,-0.0024788206218448383,4.0,25.0,0.00010371580719947815,0.0002765754858652751,True,True
lexical_k3,hybrid_k10_large,latency_ms,551.5,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,hybrid_k10_large,cost_usd,0.000176335,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,hybrid_k5_rerank,recall_at_k,0.05952380952380953,7.0,0.0,0.015625,0.026515151515151516,True,True
lexical_k3,hybrid_k5_rerank,mrr,0.011904761904761906,3.0,1.0,0.625,0.7291666666666666,False,False
lexical_k3,hybrid_k5_rerank,ndcg_at_k,0.044851978083032575,10.0,0.0,0.001953125,0.003771551724137931,True,True
lexical_k3,hybrid_k5_rerank,faithfulness,0.009558605835731353,26.0,2.0,3.032386302947998e-06,8.937559629741468e-06,True,True
lexical_k3,hybrid_k5_rerank,hallucination_risk,-0.0012130937932253766,6.0,25.0,0.0008779102936387062,0.0018908837093756748,True,True
lexical_k3,hybrid_k5_rerank,latency_ms,229.0,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,hybrid_k5_rerank,cost_usd,5.817e-05,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,hybrid_k8_rerank,recall_at_k,0.09226190476190477,10.0,0.0,0.001953125,0.003771551724137931,True,True
lexical_k3,hybrid_k8_rerank,mrr,0.014136904761904762,4.0,1.0,0.375,0.4666666666666667,False,False
lexical_k3,hybrid_k8_rerank,ndcg_at_k,0.05884084760071335,13.0,0.0,0.000244140625,0.000594429347826087,True,True
lexical_k3,hybrid_k8_rerank,faithfulness,0.009558605835731353,26.0,2.0,3.032386302947998e-06,8.937559629741468e-06,True,True
lexical_k3,hybrid_k8_rerank,hallucination_risk,-0.0012130937932253766,6.0,25.0,0.0008779102936387062,0.0018908837093756748,True,True
lexical_k3,hybrid_k8_rerank,latency_ms,296.5,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,hybrid_k8_rerank,cost_usd,7.6785e-05,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,lexical_k5,recall_at_k,0.044642857142857144,5.0,0.0,0.0625,0.0945945945945946,False,False
lexical_k3,lexical_k5,mrr,0.0,0.0,0.0,1.0,1.0,False,False
lexical_k3,lexical_k5,ndcg_at_k,0.02412661506165939,5.0,0.0,0.0625,0.0945945945945946,False,False
lexical_k3,lexical_k5,faithfulness,0.0,0.0,0.0,1.0,1.0,False,False
lexical_k3,lexical_k5,hallucination_risk,0.0,0.0,0.0,1.0,1.0,False,False
lexical_k3,lexical_k5,latency_ms,9.0,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,lexical_k5,cost_usd,2.8185714285714284e-06,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,lexical_k5_rerank,recall_at_k,0.05952380952380953,7.0,0.0,0.015625,0.026515151515151516,True,True
lexical_k3,lexical_k5_rerank,mrr,0.0029761904761904765,3.0,2.0,1.0,1.0,False,False
lexical_k3,lexical_k5_rerank,ndcg_at_k,0.03682788063159767,9.0,1.0,0.021484375,0.035386029411764705,True,True
lexical_k3,lexical_k5_rerank,faithfulness,-0.00185144210004214,6.0,8.0,0.79052734375,0.885390625,False,False
lexical_k3,lexical_k5_rerank,hallucination_risk,0.0049534373650273866,10.0,5.0,0.3017578125,0.40234375,False,False
lexical_k3,lexical_k5_rerank,latency_ms,99.0,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
lexical_k3,lexical_k5_rerank,cost_usd,2.2935714285714286e-05,56.0,0.0,2.7755575615628914e-17,9.71445146547012e-17,True,True
